username,created_at,likes,comments,shares,views,engagement_rate,post_date,posts_per_day,views_per_video,likes_per_video,comments_per_video,hour,weekday
.life_is_short,2025-11-09 23:28:57+00:00,1616,76,120,330500,0.005482602118003,2025-11-09,1,330500.0,1616.0,76.0,23,Sunday
funnyboy1.5,2025-09-10 07:58:51+00:00,2602,408,143,334600,0.0094231918708906,2025-09-10,1,334600.0,2602.0,408.0,7,Wednesday
jordana.aaahhh,2025-05-15 11:26:17+00:00,622,10,4,10700,0.0594392523364485,2025-05-15,1,10700.0,622.0,10.0,11,Thursday
jrakedaily,2025-10-30 18:41:13+00:00,881,25,30,131600,0.007112462006079,2025-10-30,1,131600.0,881.0,25.0,18,Thursday
ne.linkaa._,2025-01-30 12:03:31+00:00,9013,260,487,352200,0.0277115275411697,2025-01-30,1,352200.0,9013.0,260.0,12,Thursday
kreppyfazta,2025-06-13 01:26:21+00:00,893,190,622,116300,0.0146603611349957,2025-06-13,1,116300.0,893.0,190.0,1,Friday
_oliviafischer_,2025-08-02 17:12:37+00:00,1343,81,21,87500,0.0165142857142857,2025-08-02,1,87500.0,1343.0,81.0,17,Saturday
evil70302,2025-11-15 15:19:37+00:00,5371,241,200,102100,0.0569245837414299,2025-11-15,1,102100.0,5371.0,241.0,15,Saturday
studywithhannaah,2025-12-09 02:47:20+00:00,58800,113,1324,223900,0.2690352836087539,2025-12-09,1,223900.0,58800.0,113.0,2,Tuesday
asaxcameron,2025-10-30 21:30:15+00:00,73200,823,3815,562300,0.1384278854703894,2025-10-30,1,562300.0,73200.0,823.0,21,Thursday
aliyahsimone,2025-11-22 21:40:33+00:00,113800,734,5908,662000,0.1819365558912386,2025-11-22,1,662000.0,113800.0,734.0,21,Saturday
tsvetka1,2025-12-16 10:47:26+00:00,35400,115,281,281300,0.1272520440810522,2025-12-16,1,281300.0,35400.0,115.0,10,Tuesday
meleleluv,2025-10-16 13:27:20+00:00,190800,549,3371,1000000,0.19472,2025-10-16,1,1000000.0,190800.0,549.0,13,Thursday
ashley.hart,2025-11-24 05:41:07+00:00,22400,198,564,144000,0.1608472222222222,2025-11-24,1,144000.0,22400.0,198.0,5,Monday
elisapur,2025-12-20 17:26:28+00:00,90200,746,1708,320800,0.2888216957605985,2025-12-20,1,320800.0,90200.0,746.0,17,Saturday
erinfoleyyyyy,2025-11-28 20:36:24+00:00,91400,756,4416,392900,0.2457928226011707,2025-11-28,1,392900.0,91400.0,756.0,20,Friday
monas._diary,2025-10-24 22:01:07+00:00,5864,117,98,37500,0.1621066666666666,2025-10-24,1,37500.0,5864.0,117.0,22,Friday
laurenkkim0,2025-12-11 23:24:59+00:00,31100,72,75,150800,0.2072082228116711,2025-12-11,1,150800.0,31100.0,72.0,23,Thursday
themahaliajae,2025-12-03 17:10:36+00:00,2626,56,64,24900,0.1102811244979919,2025-12-03,1,24900.0,2626.0,56.0,17,Wednesday
selfcarewluc,2025-12-09 03:17:38+00:00,51200,368,657,369800,0.1412249864791779,2025-12-09,1,369800.0,51200.0,368.0,3,Tuesday
geminivlogss,2025-11-10 20:00:05+00:00,7290,55,139,57500,0.1301565217391304,2025-11-10,1,57500.0,7290.0,55.0,20,Monday
selfcarewluc,2025-05-26 20:47:19+00:00,100900,890,1524,876100,0.1179248944184453,2025-05-26,1,876100.0,100900.0,890.0,20,Monday
quorityler,2023-12-16 02:45:58+00:00,21400,481,200,149900,0.1473048699132755,2023-12-16,1,149900.0,21400.0,481.0,2,Saturday
natalieegrxce,2025-12-12 19:15:23+00:00,621,5,5,9695,0.0650850954100051,2025-12-12,1,9695.0,621.0,5.0,19,Friday
myamyse,2025-11-11 14:49:09+00:00,26200,461,981,177900,0.1553794266441821,2025-11-11,1,177900.0,26200.0,461.0,14,Tuesday
